x,y,height
490934.554,7361392.42,2.873001847836609
444591.797,7419801.07,0.9796123492099571
479450.839,7419102.96,1.2592216062260075
537727.761,7419154.35,1.4952309658144562
444478.088,7419512.85,0.9618294790184976
572708.284,7419716.49,0.18894206686840603
479449.577,7419005.47,1.2736034017523572
537727.111,7418890.22,1.4541117266335304
444411.471,7419327.52,0.9568647967306978
526582.505,7361758.61,-6.467582895010416
526589.516,7361580.68,-5.67994358623457
469706.888,7373698.03,1.9937104202784985
455268.044,7361982.54,1.3210290775110436
429896.484,7355408.59,1.7603376957518146
431458.563,7362507.29,1.5308491719957815
525446.483,7355547.76,2.046300556621664
429662.354,7354460.28,1.753295219245015
526926.627,7363463.37,-2.4791432924795602
431228.409,7361522.84,1.428263167706897
491281.793,7363610.76,1.5223566057683922
432024.115,7364718.26,1.5531866863001165
430259.277,7357581.02,1.558773379427238
430556.354,7358595.51,1.5289381843825811
490911.164,7360501.55,2.983544084790398
490125.287,7357564.28,1.292215436008965
430152.848,7356522.78,1.5593276199413764
489895.258,7356463.79,1.2107220828394194
571523.922,7413488.21,1.4926247161083737
606062.186,7411528.15,1.831019187679532
571245.567,7412528.74,1.4947196980107769
605942.096,7411315.81,1.4369764868428596
536272.096,7425479.65,1.4305799613336556
477148.839,7430491.86,0.5521895225036187
443410.579,7425353.38,0.7853890766465369
477742.087,7427492.86,0.17299577229066124
538503.697,7415436.95,2.334684845118014
445611.936,7413496.74,-0.4282621338541144
443047.502,7427436.22,0.7873481064945818
538711.603,7414531.05,1.8645192866008702
640211.976,7431163.1,0.49803995728664713
443764.4,7423676.64,0.7341421168612533
644759.602,7413793.41,0.7475670926910782
443010.958,7427618.27,0.8206536505603073
571562.6,7424618.03,0.652989592821913
442796.676,7428535.19,0.4692195127473558
478341.144,7424488.65,0.4529641751130966
443586.797,7424495.3,0.7363350701072172
536555.63,7423402.45,1.3407630789465386
608430.604,7417444.96,2.085695147816387
443232.399,7426470.05,-0.70115538198227
