x,y,height
7361392.42,1584.529,2.873001847836609
7419801.07,2196.752,0.9796123492099571
7419102.96,2027.928,1.2592216062260075
7419154.35,1849.122,1.4952309658144562
7419512.85,2197.482,0.9618294790184976
7419716.49,2136.193,0.18894206686840603
7419005.47,2027.339,1.2736034017523572
7418890.22,1849.227,1.4541117266335304
7419327.52,2197.919,0.9568647967306978
7361758.61,334.182,-6.467582895010416
7361580.68,328.951,-5.67994358623457
7373698.03,1874.201,1.9937104202784985
7361982.54,1994.473,1.3210290775110436
7355408.59,2051.447,1.7603376957518146
7362507.29,2088.196,1.5308491719957815
7355547.76,780.353,2.046300556621664
7354460.28,2047.442,1.753295219245015
7363463.37,362.608,-2.4791432924795602
7361522.84,2082.007,1.428263167706897
7363610.76,1585.888,1.5223566057683922
7364718.26,2095.004,1.5531866863001165
7357581.02,2058.979,1.558773379427238
7358595.51,2061.197,1.5289381843825811
7360501.55,1573.802,2.983544084790398
7357564.28,1599.46,1.292215436008965
7356522.78,2055.574,1.5593276199413764
7356463.79,1595.311,1.2107220828394194
7413488.21,1774.725,1.4926247161083737
7411528.15,1820.916,1.831019187679532
7412528.74,1780.422,1.4947196980107769
7411315.81,1820.092,1.4369764868428596
7425479.65,1980.116,1.4305799613336556
7430491.86,2133.854,0.5521895225036187
7425353.38,2223.313,0.7853890766465369
7427492.86,2115.229,0.17299577229066124
7415436.95,1811.781,2.334684845118014
7413496.74,2161.338,-0.4282621338541144
7427436.22,2233.538,0.7873481064945818
7414531.05,1758.563,1.8645192866008702
7431163.1,2031.557,0.49803995728664713
7423676.64,2217.597,0.7341421168612533
7413793.41,1735.514,0.7475670926910782
7427618.27,2234.415,0.8206536505603073
7424618.03,2110.748,0.652989592821913
7428535.19,2238.816,0.4692195127473558
7424488.65,2090.836,0.4529641751130966
7424495.3,2221.169,0.7363350701072172
7423402.45,1956.79,1.3407630789465386
7417444.96,2062.033,2.085695147816387
7426470.05,2228.164,-0.70115538198227
7417491.29,2185.528,0.8540640127503273
7423574.05,2033.734,0.179616633116806
7381539.69,1761.771,2.724108770515009
7413292.51,1651.826,1.7576445518108663
7413509.9,1989.155,1.6160557932832464
7421579.04,2082.888,1.51876786486811
7422539.36,1921.689,2.2036512088442404
7422493.17,2086.03,1.598318145535147
7415472.0,1714.644,1.1485708748203127
7414158.48,1730.251,1.2396146180616414
7380609.55,907.564,3.890551899797713
7369674.89,1259.44,2.2758127480159245
7370472.18,1639.142,2.6718524628532343
7411559.98,1797.793,1.3171022960428795
7410526.74,1818.553,1.4158085680634058
7412302.46,1785.57,1.3648485386639364
7421489.08,2197.955,0.8207462239917447
7420476.19,2063.698,1.6124056828034834
7416317.31,1705.699,1.201566489474005
7362512.62,1592.131,3.3263457902786
7416544.82,2056.679,3.3574082614810448
7381530.64,2048.14,0.9355413224332216
7383475.75,1760.713,2.5894996915711235
7375375.26,1700.362,3.0211682928906805
7412509.55,1616.593,1.7745385071516309
7379481.98,1736.183,2.9776836661340633
7374440.32,2032.711,1.1916327611813036
7351321.37,2023.711,1.7231939025070537
7349544.37,1037.895,1.162151683476879
7351488.37,1012.161,0.9286798136991935
